claim,topic
Emotional companion AI poses risks of attachment and should be limited,AI-companion
Virtual emotional companion AI should be allowed and unrestricted,AI-companion
Requiring all police officers to wear body cameras should not be mandated,bodycam
All police officers should be required to wear body cameras,bodycam
Charter schools divert public funds away from traditional public schools.,charter-schools
Charter schools increase options and drive education innovation.,charter-schools
Corporations should not be required to disclose their climate impacts,climate
Corporations should be required to disclose their climate impacts,climate
College athletes should be paid salaries,collegeathletes
College athletes should not be paid salaries,collegeathletes
Basing decisions on credit scores and models is discriminatory.,credit-models
It is fair for insurers and lenders to use credit scores and risk models.,credit-models
Recreational drone pilots should not require registration and testing,drones
Recreational drone pilots should be registered and tested,drones
Prescription drug ads should be allowed on television,drug-ads
Prescription drug ads should not be allowed on television,drug-ads
Drug importation jeopardizes safety controls and the domestic pharma industry.,drug-imports
Prescription drug importation should be allowed to increase access and lower costs.,drug-imports
Gas car sales should be banned after a set phase-out date,gas-sales
Banning gas car sales too soon is unrealistic,gas-sales
Genetic engineering of unborn babies should be allowed to eliminate disease.,genetic-babies
Genetic modification of unborn babies is unethical and dangerous.,genetic-babies
Climate geoengineering research should be pursued as a potential solution.,geoengineering
Geoengineering poses too many risks and should not be considered.,geoengineering
Internet access should not be considered a basic human right,internet
Internet access should be considered a basic human right,internet
Cultured/lab-grown meats should be allowed to be sold,lab-meat
The US should ban all cultured or lab-grown meat products,lab-meat
Anti-aging therapies should be made available even if expensive,lifespan-extension
Lifespan extension would exacerbate inequities and should not be pursued,lifespan-extension
No limits should be placed on acceptable human risk for initial Mars colonization missions,mars
Limits should be placed on acceptable human risk levels for initial Mars colonization missions,mars
Raising the minimum wage to $15 would hurt small businesses and jobs.,min-wage
The minimum wage should be raised to $15 per hour nationwide.,min-wage
Governments and technology companies must do more to protect online privacy and security.,online-privacy
Individuals must take responsibility for online privacy without excessive government mandates.,online-privacy
Employee tracking infringes on privacy rights and should face restrictions.,privacy
Tracking welfare recipients violates privacy and harms vulnerable populations.,privacy
Self-driving cars will increase safety and should replace human drivers.,selfdriving
Self-driving cars will not be safe enough to fully replace human drivers.,selfdriving
Social media companies should not be required to label AI-generated content,sm-aicontent
Social media companies should be required to label AI-generated content,sm-aicontent
Social media platforms should not censor any legal speech.,sm-cont-moderation
Social media platforms have a duty to moderate harmful content.,sm-cont-moderation
Smartphones/social media should not be banned for kids under 16,sm-kids
Smartphones/social media should be banned for kids under 16,sm-kids
Social media platforms should be liable for harmful content posted by users,sm-liable
Social media platforms should not be liable for harmful content posted by users,sm-liable
Social media should verify user identities,sm-users
Social media should not be required to verify user identities,sm-users
Space tourism should be allowed without initial limits on safety regulations,space
Space tourism should be limited until safety regulations are further developed,space
Tenure for university professors should be reformed or eliminated,tenure
University professor tenure should remain as is,tenure
People receiving welfare benefits should be tracked to prevent fraud/abuse.,tracking-employees
Employers should be allowed to monitor employees through tracking mechanisms.,tracking-employees